participants,date_announced,business_description,type,SIC_primary,participant_nation,deal_number
Management Data (MD),1997-12-15,Pvd banking & fin software,Strategic Alliance,7372,United States,935066045
First USA Bank(First USA Inc),1997-12-16,Commercial bank,Strategic Alliance,6022,United States,718364045
"Firstar Corp,Milwaukee, Wi",1997-12-17,Commercial bank hldg company,Strategic Alliance,6021,United States,974153045
"NationsBank Corp,Charlotte,NC",1997-12-19,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,1012844045
"CoreStates Financial Corp,PA",1997-12-22,Bank holding company,Strategic Alliance,6022,United States,719082045
Donaldson Lufkin & Jenrette,1997-12-23,Investment bank,Strategic Alliance,6211,United States,947291045
Scudder Kemper Investments Inc,1998-01-05,Investment bank,Joint Venture,6211,United States,723820045
AMRESCO Inc,1998-01-06,Mortgage bank,Joint Venture,6162,United States,723281045
"First Union Corp,Charlotte,NC",1998-01-06,Commercial bank;holding co,Strategic Alliance,6021,United States,724419045
Bankers Trust Co,1998-01-08,Commercial bank,Joint Venture,6021,United States,936710045
"BANK ONE,Columbus,Ohio",1998-01-21,Commercial bank,Strategic Alliance,6022,United States,1055341045
"Mellon Bank Corp,Pittsburgh,PA",1998-01-28,Bank holding co,Strategic Alliance,6021,United States,750488045
Credit Suisse First Boston,1998-01-28,Investment bank,Joint Venture,6211,United States,750260045
Credit Suisse First Boston,1998-01-30,Investment bank,Joint Venture,6211,United States,730774045
"BankBoston Corp,Boston,MA",1998-02-11,Bank holding company,Joint Venture,6021,United States,1060497045
First Chicago NBD Corp,1998-02-11,Bank holding company,Joint Venture,6021,United States,1060497045
Bankers Trust New York Corp,1998-02-18,Bank holding company,Joint Venture,6022,United States,736356045
"Chase Manhattan Corp,NY",1998-02-19,Bank holding company,Strategic Alliance,6021,United States,734890045
Town & Country Bank,1998-02-27,Bank,Strategic Alliance,6712,United States,1030830045
First Security Technology,1998-03-06,"Pvd finl,software,banking svcs",Strategic Alliance,8999,United States,740090045
"Chase Manhattan Corp,NY",1998-03-16,Bank holding company,Strategic Alliance,6021,United States,741545045
"US Bank NA, North Dakota",1998-03-17,Commercial bank,Strategic Alliance,6021,United States,1037644045
JP Morgan & Co Inc,1998-03-19,Investment bank,Strategic Alliance,6211,United States,870734045
AMRESCO Inc,1998-03-19,Mortgage bank,Joint Venture,6162,United States,863065045
JP Morgan & Co Inc,1998-03-20,Investment bank,Strategic Alliance,6211,United States,743696045
"IMC Mortgage Co,Tampa,Florida",1998-03-20,Mortgage bank,Strategic Alliance,6162,United States,743077045
Donaldson Lufkin & Jenrette,1998-03-22,Investment bank,Strategic Alliance,6211,United States,871470045
"Mellon Bank Corp,Pittsburgh,PA",1998-03-23,Bank holding co,Strategic Alliance,6021,United States,753685045
"UMB Bank NA,Kansas City,MO",1998-03-24,Commercial bank (for US),Strategic Alliance,6021,United States,743706045
BankAmerica Corp,1998-03-24,Bank holding company,Strategic Alliance,6021,United States,749075045
"NationsBank Corp,Charlotte,NC",1998-03-25,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,744041045
Bank of Commerce,1998-03-25,Bank holding company,Strategic Alliance,6712,United States,745115045
"NationsBank Corp,Charlotte,NC",1998-03-26,Bank hldg co;pvd finl svcs,Joint Venture,6021,United States,1042702045
"Bay View Capital,San Mateo,CA",1998-03-27,Bank holding company,Strategic Alliance,6712,United States,1012046045
Bankers Trust New York Corp,1998-03-27,Bank holding company,Strategic Alliance,6022,United States,748746045
Goldman Sachs & Co,1998-04-02,Invest bank,Joint Venture,6211,United States,1021792045
HomeSide Inc,1998-04-02,Mortgage bank,Strategic Alliance,6162,United States,758949045
Banc One Mortgage(BANC ONE),1998-04-02,Mortgage bank,Strategic Alliance,6162,United States,758949045
"Mellon Bank Corp,Pittsburgh,PA",1998-04-05,Bank holding co,Strategic Alliance,6021,United States,809760045
First Security Corp of KY,1998-04-06,Bank holding company,Joint Venture,6021,United States,1041087045
First Premier Bank NA,1998-04-07,Commercial bank,Strategic Alliance,6021,United States,1056006045
"National Bank of Commerce,TN",1998-04-13,Commercial bank,Strategic Alliance,6021,United States,1033820045
"First Security Corp,Utah",1998-04-14,Bank holding co,Strategic Alliance,6022,United States,752050045
"Allegiant Bancorp,St Louis,MO",1998-04-15,Commercial bank holding co,Strategic Alliance,6021,United States,752707045
"Mellon Bank Corp,Pittsburgh,PA",1998-04-15,Bank holding co,Joint Venture,6021,United States,754584045
North American Mortgage Co,1998-04-16,Mortgage bank,Strategic Alliance,6162,United States,753539045
First Union Bank,1998-04-22,Commercial bank,Strategic Alliance,6022,United States,1038679045
Citibank NA,1998-04-24,Commercial bank (for US),Strategic Alliance,6021,United States,1033767045
Citibank NA,1998-04-27,Commercial bank (for US),Strategic Alliance,6021,United States,756866045
Chase Manhattan Bank,1998-05-01,Commercial bank,Strategic Alliance,6021,United States,858813045
Bank of Hawaii,1998-05-01,State commercial bank,Strategic Alliance,6022,United States,858821045
Philadelphia Int'l Equities In,1998-05-01,Commercial bank,Joint Venture,6021,United States,863062045
Fidelity Bond and Mortgage Co,1998-05-05,Mortgage bankers,Joint Venture,6162,United States,877373045
Phoenix Mortgage Co,1998-05-05,Mortgage bank,Joint Venture,6162,United States,877373045
Goldman Sachs & Co,1998-05-07,Invest bank,Strategic Alliance,6211,United States,850913045
Federal Home Loan Bank,1998-05-08,Commercial bank,Strategic Alliance,6021,United States,940960045
Citibank NA,1998-05-12,Commercial bank (for US),Strategic Alliance,6021,United States,879261045
Crestar Bank(Crestar Finl),1998-05-13,Commercial bank,Strategic Alliance,6021,United States,868645045
"BANC ONE Corp,Columbus,Ohio",1998-05-15,Bank holding co,Strategic Alliance,6021,United States,861709045
Citibank NA,1998-05-19,Commercial bank (for US),Strategic Alliance,6021,United States,857219045
Goldman Sachs & Co,1998-05-20,Invest bank,Strategic Alliance,6211,United States,760841045
Citibank NA,1998-05-20,Commercial bank (for US),Strategic Alliance,6021,United States,1038687045
"Fleet Financial Group Inc,MA",1998-05-21,Bank holding company,Strategic Alliance,6021,United States,935003045
Parallel Capitol Corp,1998-05-21,Mortgage bank,Strategic Alliance,6162,United States,935003045
Central Carolina Bnk & Trust,1998-05-21,Commercial bank,Strategic Alliance,6021,United States,856203045
Goldman Sachs & Co,1998-05-31,Invest bank,Joint Venture,6211,United States,872483045
National Commerce Bancorp,1998-06-03,Bank holding company,Strategic Alliance,6021,United States,1054423045
"Chase Manhattan Corp,NY",1998-06-05,Bank holding company,Strategic Alliance,6021,United States,859303045
Baker Hill Corp,1998-06-15,Dvlp bank software,Strategic Alliance,7372,United States,934908045
"KeyBank NA,Cleveland,Ohio",1998-06-16,Provides commercial banking services,Strategic Alliance,6021,United States,1010008045
CivicBank of Commerce,1998-06-23,Commercial bank,Strategic Alliance,6022,United States,1055250045
Avidyne Group,1998-06-24,Investment bank,Strategic Alliance,6211,United States,949658045
Stratum Group LP(Venus Expl),1998-06-25,Mortgage bankers,Strategic Alliance,6162,United States,949664045
Bank United(Bank United Corp),1998-06-30,Federally chartered bank,Strategic Alliance,6035,United States,1060999045
Salomon Smith Barney Holdings,1998-06-30,Investment bank,Strategic Alliance,6211,United States,1060999045
Donaldson Lufkin & Jenrette,1998-07-01,Investment bank,Strategic Alliance,6211,United States,1052646045
"NationsBank Corp,Charlotte,NC",1998-07-01,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,775153045
"First Union Corp,Charlotte,NC",1998-07-01,Commercial bank;holding co,Strategic Alliance,6021,United States,774519045
"NationsBank Corp,Charlotte,NC",1998-07-02,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,874069045
Goldman Sachs & Co,1998-07-03,Invest bank,Joint Venture,6211,United States,987191045
Goldman Sachs & Co,1998-07-10,Invest bank,Joint Venture,6211,United States,959061045
"First Union Corp,Charlotte,NC",1998-07-14,Commercial bank;holding co,Strategic Alliance,6021,United States,858394045
"Redstone Bancorp,Houston,Texas",1998-07-27,Commercial bank,Joint Venture,6021,United States,1055334045
"PNC Bank Corp,Pittsburgh,PA",1998-07-28,Bank holding company,Strategic Alliance,6021,United States,778359045
Citibank NA,1998-07-30,Commercial bank (for US),Strategic Alliance,6021,United States,948839045
ING Baring Furman Selz LLC,1998-07-30,Investment bank,Joint Venture,6211,United States,959413045
Citicorp,1998-08-06,Bank hldg co,Strategic Alliance,6021,United States,784936045
Citicorp,1998-08-10,Bank hldg co,Strategic Alliance,6021,United States,783085045
First Bank of Illinois,1998-08-10,Investment bank,Strategic Alliance,6211,United States,943526045
"Security First Network Bk,GA",1998-08-13,Dvlp Internet banking software,Strategic Alliance,7372,United States,798731045
Crestar Bank(Crestar Finl),1998-08-18,Commercial bank,Strategic Alliance,6021,United States,785350045
"Mellon Bank Corp,Pittsburgh,PA",1998-08-20,Bank holding co,Strategic Alliance,6021,United States,785903045
"Mellon Bank Corp,Pittsburgh,PA",1998-08-20,Bank holding co,Joint Venture,6021,United States,956635045
InteliData Technologies Corp,1998-08-26,Pvd online banking svcs,Strategic Alliance,6029,United States,945638045
Winston-Salem & Association,1998-08-29,Investment bank,Strategic Alliance,6211,United States,943545045
Bank of Hawaii,1998-09-01,State commercial bank,Strategic Alliance,6022,United States,788687045
Pan American Global Group Inc,1998-09-04,Investment bank,Joint Venture,6211,United States,963914045
GMAC Mortgage Corp,1998-09-14,Mortgage bank,Strategic Alliance,6162,United States,963641045
Morgan Stanley Dean Witter,1998-09-16,Investment bank,Joint Venture,6211,United States,959690045
"NationsBank Corp,Charlotte,NC",1998-09-17,Bank hldg co;pvd finl svcs,Strategic Alliance,6021,United States,959071045
Citicorp,1998-09-25,Bank hldg co,Strategic Alliance,6021,United States,796232045
Capital One Financial Corp,1998-10-06,Bank Holding Company,Strategic Alliance,6022,United States,975920045
John Nuveen Co,1998-10-15,Investment bank,Strategic Alliance,6211,United States,959276045
Coast-to-Coast Financial Corp,1998-10-15,Bank holding company,Strategic Alliance,6035,United States,955168045
Bankers' Bank of Kansas NA,1998-10-19,Commercial bank,Strategic Alliance,6021,United States,976388045
"Dime Savings Bk of NY,FSB",1998-10-27,Savings bank;mortgage bankers,Strategic Alliance,6035,United States,931413045
Alliance Mtg Co(Florida Natl),1998-11-04,Mortgage bank,Strategic Alliance,6162,United States,1043290045
Donaldson Lufkin & Jenrette,1998-11-04,Investment bank,Joint Venture,6211,United States,1034580045
"St Paul Bancorp,Chicago,IL",1998-11-09,Bank holding company,Strategic Alliance,6035,United States,1041326045
"Chase Manhattan Corp,NY",1998-11-15,Bank holding company,Strategic Alliance,6021,United States,959078045
InteliData Technologies Corp,1998-11-16,Pvd online banking svcs,Strategic Alliance,6029,United States,1043943045
Houlihan Lokey Howard & Zukin,1998-11-17,Invest bank,Joint Venture,6211,United States,972039045
"US Bancorp,Minneapolis,MN",1998-11-25,Bank holding company,Strategic Alliance,6021,United States,847287045
Chase Manhattan Bank,1998-11-27,Commercial bank,Joint Venture,6021,United States,1061021045
Raymond James & Associates Inc,1998-12-01,Investment Banking and Securities Dealing,Strategic Alliance,6211,United States,1056007045
First Union Corp of Virginia,1998-12-03,Commercial bank,Strategic Alliance,6021,United States,1053954045
Peoples Bank,1998-12-03,Commercial bank,Strategic Alliance,6021,United States,1053950045
HomeSide International Inc,1998-12-03,Mortgage bank,Strategic Alliance,6162,United States,1053950045
Capital One Financial Corp,1998-12-04,Bank Holding Company,Strategic Alliance,6022,United States,1016348045
"BankBoston Corp,Boston,MA",1998-12-08,Bank holding company,Strategic Alliance,6021,United States,1055243045
"PNC Bank Corp,Pittsburgh,PA",1998-12-10,Bank holding company,Strategic Alliance,6021,United States,1053609045
"First Indiana Bank,NA,IN",1998-12-11,Commercial bank,Strategic Alliance,6022,United States,1053613045
Investors Services Inc,1998-12-11,Bank,Strategic Alliance,6021,United States,985958045
Berks County Bank,1998-12-11,Bank,Joint Venture,6021,United States,1053590045
"Fleet Financial Group Inc,MA",1998-12-15,Bank holding company,Strategic Alliance,6021,United States,1050612045
PaineWebber Group Inc,1998-12-28,Investment bank,Joint Venture,6211,United States,883921045
"First Dakota National Bank,SD",1998-12-28,Commercial bank,Joint Venture,6021,United States,1058179045
"Bank One Corp,Chicago,IL",1998-12-29,Bank holding co,Joint Venture,6021,United States,1011005045
Countrywide Credit Industries,1998-12-30,Mortgage bank,Strategic Alliance,6162,United States,1058276045
"BankAtlantic,FL",1999-01-01,Commercial bank,Strategic Alliance,6021,United States,1055689045
Huntington Bancshares-Ppty(59),1999-01-01,"Own,op bank properties",Strategic Alliance,6512,United States,1055345045
BankAmerica Corp,1999-01-04,Bank holding company,Strategic Alliance,6021,United States,950819045
Wells Fargo Capital C,1999-01-04,Bank holding company,Joint Venture,6021,United States,847449045
Citibank NA,1999-01-05,Commercial bank (for US),Strategic Alliance,6021,United States,959051045
"Norwest Corp,Minneapolis, Minn",1999-01-05,Commercial Banking,Joint Venture,6021,United States,940208045
WMF Group Ltd,1999-01-05,Mortgage bank,Joint Venture,6162,United States,949441045
First National Bank & Trust Co,1999-01-06,Commercial bank,Strategic Alliance,6021,United States,949146045
"Mellon Bank Corp,Pittsburgh,PA",1999-01-06,Bank holding co,Joint Venture,6021,United States,939938045
Richard Robinson & Associates,1999-01-11,Investment bank,Strategic Alliance,6211,United States,936172045
"Imperial Bancorp,Inglewood,CA",1999-01-14,Bank holding company,Strategic Alliance,6022,United States,933456045
Harris Trust & Savings Bank,1999-01-21,"State banks,member fed reserve",Strategic Alliance,6022,United States,1058601045
Open Solutions Inc,1999-01-25,"Pvd ecommerce,banking software",Strategic Alliance,7372,United States,1060024045
Credit Suisse First Boston,1999-01-27,Investment bank,Joint Venture,6211,United States,940105045
Vining Sparks USA,1999-01-28,Merchant bank,Joint Venture,6211,United States,955038045
JP Morgan & Co Inc,1999-01-28,Investment bank,Joint Venture,6211,United States,977089045
"Pacific Bank NA,CA",1999-02-01,Commercial bank,Strategic Alliance,6021,United States,1055700045
Interstate/Johnson Lane Inc,1999-02-01,Investment banking holding co,Strategic Alliance,6211,United States,1055704045
"Chase Manhattan Corp,NY",1999-02-02,Bank holding company,Joint Venture,6021,United States,1060248045
Chase Manhattan Bank,1999-02-03,Commercial bank,Strategic Alliance,6021,United States,851095045
"First USA Bank,Wilmington,DE",1999-02-04,Commercial bank,Strategic Alliance,6021,United States,1059153045
BancorpSouth Bank,1999-02-04,Commercial Banking,Strategic Alliance,6022,United States,1060569045
nFront Inc,1999-02-04,Pvd Internet banking prods,Strategic Alliance,7375,United States,1060569045
"Chase Manhattan Corp,NY",1999-02-09,Bank holding company,Strategic Alliance,6021,United States,1056058045
JP Morgan & Co Inc,1999-02-16,Investment bank,Strategic Alliance,6211,United States,1053646045
Morgan Stanley Dean Witter,1999-02-16,Investment bank,Strategic Alliance,6211,United States,859548045
nFront Inc,1999-02-18,Pvd Internet banking prods,Strategic Alliance,7375,United States,1049091045
Michigan National Corp,1999-02-23,Bank holding company,Joint Venture,6021,United States,947548045
Chase Manhattan Bank,1999-02-23,Commercial bank,Strategic Alliance,6021,United States,949866045
Security First Technologies,1999-02-23,Commercial bank,Strategic Alliance,6021,United States,949880045
Security First Technologies,1999-02-23,Commercial bank,Strategic Alliance,6021,United States,947626045
"Jacksonville Bancorp,TX",1999-02-25,Bank holding company,Strategic Alliance,6022,United States,947023045
JP Morgan & Co Inc,1999-02-26,Investment bank,Strategic Alliance,6211,United States,940732045
Global Entertainment Capital,1999-03-01,Bank,Joint Venture,6029,United States,941683045
Community BancService Corp,1999-03-04,Bank,Strategic Alliance,6029,United States,935129045
Chase Manhattan Bank,1999-03-05,Commercial bank,Strategic Alliance,6021,United States,935165045
PanAmerican BanCorp,1999-03-11,"Mortgage bank,finance company",Strategic Alliance,6162,United States,864014045
"Community First Bancshares,OH",1999-03-16,Commercial bank,Strategic Alliance,6022,United States,1053054045
"Bank One Corp,Chicago,IL",1999-03-16,Bank holding co,Strategic Alliance,6021,United States,1054399045
Citibank NA,1999-03-16,Commercial bank (for US),Strategic Alliance,6021,United States,862473045
Rocky Mountain Bank,1999-03-16,State bank,Strategic Alliance,6022,United States,1044133045
American Bantrust Services,1999-03-16,Mortgage bank,Strategic Alliance,6162,United States,1044133045
Citibank NA,1999-03-17,Commercial bank (for US),Strategic Alliance,6021,United States,944452045
Wells Fargo & Co,1999-03-17,Bank holding company,Strategic Alliance,6021,United States,1041451045
"Mellon Bank Corp,Pittsburgh,PA",1999-03-18,Bank holding co,Strategic Alliance,6021,United States,1045292045
Capac State Bank,1999-03-19,Investment bank,Strategic Alliance,6211,United States,1042321045
EBI Securities Corp,1999-03-19,Mortgage bank,Strategic Alliance,6211,United States,1055337045
Keystroke Financial Inc,1999-03-23,Bank holding company,Strategic Alliance,6022,United States,1040145045
"United National Bancorp,NJ",1999-03-23,Commercial bank holding co,Strategic Alliance,6022,United States,1039095045
US Bancorp Piper Jaffray Inc,1999-03-24,Investment bank;holding co,Joint Venture,6211,United States,1040452045
Morgan Stanley Dean Witter,1999-03-24,Investment bank,Strategic Alliance,6211,United States,1039549045
JP Morgan & Co Inc,1999-03-24,Investment bank,Joint Venture,6211,United States,1039052045
"First Union Corp,Charlotte,NC",1999-03-25,Commercial bank;holding co,Joint Venture,6021,United States,867590045
First Financial Equities Inc,1999-03-25,"Mortgage bankers,loan",Strategic Alliance,6162,United States,952326045
"First USA Bank,Wilmington,DE",1999-03-29,Commercial bank,Strategic Alliance,6021,United States,952042045
"Wachovia Corp,Winston-Salem,NC",1999-03-31,Bank holding company,Strategic Alliance,6021,United States,950917045
"Community Financial Group,TN",1999-04-09,Commercial bank holding co,Joint Venture,6021,United States,1037742045
Eastbrokers International Inc,1999-04-09,Investment bank,Joint Venture,6211,United States,1040053045
Citibank NA,1999-04-13,Commercial bank (for US),Joint Venture,6021,United States,940573045
Chase Manhattan Bank,1999-04-13,Commercial bank,Joint Venture,6021,United States,940573045
Fieldstone Private Capital,1999-04-13,Investment bank,Strategic Alliance,6211,United States,1026142045
"United Finl Mtg Corp,Illinois",1999-04-13,Mortgage bank,Strategic Alliance,6162,United States,1038177045
Bankers Trust Co,1999-04-14,Commercial bank,Strategic Alliance,6021,United States,955925045
"Silicon Valley Bancshares,CA",1999-04-15,Commercial bank;holding co,Strategic Alliance,6021,United States,1032876045
AMRESCO Inc,1999-04-16,Mortgage bank,Strategic Alliance,6162,United States,1034268045
Home Account Network Inc,1999-04-22,"Pvd misc bus credit,bank svcs",Strategic Alliance,6159,United States,1031008045
"Bank One Corp,Chicago,IL",1999-04-27,Bank holding co,Strategic Alliance,6021,United States,1032235045
Image-Photo Systems Inc,1999-05-03,Merchant banking firm,Joint Venture,6211,United States,1034305045
Mortgage Bankers Holding Corp,1999-05-03,Mortgage bank,Strategic Alliance,6162,United States,1028883045
iOwn Holdings Inc,1999-05-05,Mortgage bank,Strategic Alliance,6162,United States,900986045
"Cardinal Bank,Alexandria,VA",1999-05-07,Bank,Strategic Alliance,6029,United States,901228045
"Hudson United Bk,Union City,NJ",1999-05-11,Commercial bank,Strategic Alliance,6022,United States,902027045
Cantor Fitzgerald LP,1999-05-12,Investment Banking and Securities Dealing,Strategic Alliance,6211,United States,1015148045
"First Union Corp,Charlotte,NC",1999-05-13,Commercial bank;holding co,Strategic Alliance,6021,United States,901648045
Security First Technologies,1999-05-17,Commercial bank,Strategic Alliance,6021,United States,902493045
George K Baum & Co Inc,1999-05-20,Invest bank,Strategic Alliance,6211,United States,934198045
"First Intl Bank & Trust,AZ",1999-05-20,Commercial bank,Strategic Alliance,6022,United States,1011944045
WMF Group Ltd,1999-05-25,Mortgage bank,Joint Venture,6162,United States,1021028045
Intercontinental Enterprises,1999-05-25,Investment banking holding co,Strategic Alliance,6211,United States,1016618045
"United Finl Mtg Corp,Illinois",1999-05-25,Mortgage bank,Strategic Alliance,6162,United States,1022820045
"Austin Bank,IL(Greater Chicag)",1999-05-25,Bank,Strategic Alliance,6029,United States,1022820045
Citibank NA,1999-05-25,Commercial bank (for US),Strategic Alliance,6021,United States,902909045
FirstMerit Corp,1999-05-28,Bank holding compnay,Joint Venture,6021,United States,1010823045
North American Mortgage Co,1999-06-01,Mortgage bankers,Strategic Alliance,6162,United States,990876045
Morgan Stanley Dean Witter,1999-06-01,Investment bank,Strategic Alliance,6211,United States,1010471045
Salomon Smith Barney Holdings,1999-06-01,Investment bank,Strategic Alliance,6211,United States,1010477045
Fifth Third Bancorp,1999-06-04,Commercial Banking,Strategic Alliance,6022,United States,1011128045
Capital One Bank,1999-06-07,"Pvd banking,lending svcs",Strategic Alliance,6029,United States,991816045
Goldman Sachs & Co,1999-06-08,Investment bank,Joint Venture,6211,United States,992403045
Chase Manhattan Bank,1999-06-11,Commercial bank,Strategic Alliance,6021,United States,896944045
"Chase Manhattan Corp,NY",1999-06-23,Bank holding company,Joint Venture,6021,United States,897261045
"First Union Corp,Charlotte,NC",1999-06-23,Commercial bank;holding co,Joint Venture,6021,United States,897261045
Wells Fargo & Co,1999-06-23,Bank holding company,Joint Venture,6021,United States,897261045
ABN AMRO Bank NV-NY Branch,1999-06-23,Commercial bank branch,Strategic Alliance,6021,United States,897220045
Westwood Capital LP,1999-06-23,Investment Bank,Strategic Alliance,6211,United States,986960045
Accredited Home Lenders,1999-06-24,Mortgage bank,Strategic Alliance,6162,United States,986943045
Republic Natl Bk-New City Brch,1999-06-24,Commercial bank,Strategic Alliance,6021,United States,897889045
MBNA Corp,1999-06-28,Commercial bank holding co,Strategic Alliance,6021,United States,899072045
Citibank NA,1999-06-28,Commercial bank (for US),Strategic Alliance,6021,United States,985485045
KPMG,1999-07-06,Investment bank,Strategic Alliance,6211,United States,956543045
iOwn Holdings Inc,1999-07-07,Mortgage bank,Strategic Alliance,6162,United States,980691045
United National Inc,1999-07-07,Mortgage bank,Strategic Alliance,6162,United States,980318045
Marketcomm Inc,1999-07-07,Pvd mortgage banking svcs,Strategic Alliance,6162,United States,980318045
SouthTrust Bank of Alabama,1999-07-09,National commercial banks,Strategic Alliance,6021,United States,903158045
Citibank NA,1999-07-09,Commercial bank (for US),Strategic Alliance,6021,United States,902650045
InteliData Technologies Corp,1999-07-12,Pvd online banking svcs,Strategic Alliance,6029,United States,903128045
"Bancwest Corp,Honolulu,HI",1999-07-12,Commercial bank,Strategic Alliance,6021,United States,903128045
Chase Manhattan Bank,1999-07-14,Commercial bank,Strategic Alliance,6021,United States,904584045
Home Account Network Inc,1999-07-15,"Pvd misc bus credit,bank svcs",Strategic Alliance,6159,United States,905274045
"First American Corp,Tennessee",1999-07-20,Bank holding company,Joint Venture,6021,United States,906346045
Donaldson Lufkin & Jenrette,1999-07-21,Investment bank,Joint Venture,6211,United States,910140045
Credit Suisse First Boston,1999-07-21,Investment bank,Joint Venture,6211,United States,910140045
Citibank NA,1999-07-22,Commercial bank (for US),Strategic Alliance,6021,United States,910136045
"Westamerica Bank,San Rafael,",1999-07-25,Pvd commercial banking svcs,Strategic Alliance,6021,United States,910179045
Somerset Hills Consultants Inc,1999-07-26,Investment bank,Joint Venture,6211,United States,914438045
Citicorp Information Tech,1999-08-03,Dvlp Internet banking software,Strategic Alliance,7372,United States,931848045
GE Capital Financial Inc,1999-08-06,Investment bank,Strategic Alliance,6211,United States,920329045
Pan American Global Group Inc,1999-08-07,Investment bank,Joint Venture,6211,United States,976624045
Morgan Stanley Dean Witter,1999-08-11,Investment bank,Strategic Alliance,6211,United States,912916045
"Mellon Bank Corp,Pittsburgh,PA",1999-08-17,Bank holding co,Strategic Alliance,6021,United States,915354045
First National Bank of Omaha,1999-08-24,Commercial Banking,Strategic Alliance,6021,United States,917398045
JP Morgan & Co Inc,1999-08-25,Investment bank,Joint Venture,6211,United States,927622045
Bank of America Corp,1999-08-25,"Provide banking,financial svcs",Strategic Alliance,6021,United States,949188045
Dollar Bank  Federal Svgs Bank,1999-08-31,Savings bank,Strategic Alliance,6035,United States,919312045
Alliance Mtg Co(Florida Natl),1999-09-01,Mortgage bank,Joint Venture,6162,United States,932182045
"Marshall & Ilsley,Milwaukee,WI",1999-09-02,Bank holding company,Strategic Alliance,6021,United States,919997045
Morgan Stanley Dean Witter,1999-09-07,Investment bank,Joint Venture,6211,United States,924980045
AMRESCO Inc,1999-09-07,Mortgage bank,Joint Venture,6162,United States,924997045
Family Savings Bk of Seabrook,1999-09-08,Savings bank,Strategic Alliance,6036,United States,921508045
Comerica Bank-California,1999-09-08,Commercial bank,Strategic Alliance,6021,United States,921508045
nFront Inc,1999-09-08,Pvd Internet banking prods,Strategic Alliance,7375,United States,921406045
Silicn Valley Bank,1999-09-12,Commercial Banking,Strategic Alliance,6021,United States,928620045
Brown Brothers Harriman & Co,1999-09-13,Commercial bank,Strategic Alliance,6021,United States,926651045
BT Holdings Ltd,1999-09-17,Bank,Joint Venture,6029,United States,924105045
"First USA Bank,Wilmington,DE",1999-09-21,Commercial bank,Strategic Alliance,6021,United States,924719045
First Chesapeake Finl Corp,1999-09-22,Mortgage bank,Strategic Alliance,6162,United States,924787045
eHomeCredit Corp,1999-09-23,Mortgage bank,Strategic Alliance,6162,United States,925723045
GMAC Mortgage Corp,1999-09-28,Mortgage bank,Strategic Alliance,6162,United States,927778045
"Bank One Corp,Chicago,IL",1999-09-28,Bank holding co,Strategic Alliance,6021,United States,927778045
"CBOT Financial Corp,Texas",1999-09-30,Bank holding co,Strategic Alliance,6021,United States,928734045
"Chase Manhattan Corp,NY",1999-10-04,Bank holding company,Strategic Alliance,6021,United States,929592045
Fleet Mortgage Group Inc,1999-10-11,Mortgage bank;holding company,Strategic Alliance,6162,United States,931827045
United National Mortgage LLC,1999-10-13,Mortgage bank,Strategic Alliance,6162,United States,933016045
USABancShares.com Inc,1999-10-14,Commercial bank holding co,Strategic Alliance,6022,United States,932652045
KPMG,1999-10-14,Investment bank,Strategic Alliance,6211,United States,933045045
Northern Trust Co,1999-10-18,Commercial bank,Strategic Alliance,6022,United States,933618045
Robertson Stephens Wealth,1999-10-19,Investment banking firm,Strategic Alliance,6211,United States,935054045
"Bank One Corp,Chicago,IL",1999-10-26,Bank holding co,Strategic Alliance,6021,United States,936287045
"Bank One Corp,Chicago,IL",1999-10-26,Bank holding co,Strategic Alliance,6021,United States,936317045
Advanced Hi-Tech Corp,1999-11-02,Dvlp banking industry software,Strategic Alliance,7372,United States,938332045
Liberty Bank & Trust,1999-11-03,Commercial bank,Joint Venture,6022,United States,938414045
Harbor Bankshares Corp,1999-11-03,Bank Holding Company,Joint Venture,6022,United States,938414045
First Tuskegee Bank,1999-11-03,Investment bank,Joint Venture,6211,United States,938414045
Bank One Capital Corp,1999-11-04,Investment bank,Joint Venture,6211,United States,939336045
Robertson Stephens Wealth,1999-11-08,Investment banking firm,Strategic Alliance,6211,United States,940381045
TCF Financial Corp,1999-11-08,Commercial Banking,Strategic Alliance,6021,United States,940249045
"Argent Capital Corp,Nashville",1999-11-09,Mortgage bank,Strategic Alliance,6162,United States,940727045
Veronis Suhler & Associates,1999-11-11,Media merchant bank,Joint Venture,6799,United States,941662045
Direct Merchants Credit Card,1999-11-12,Commercial bank,Strategic Alliance,6153,United States,941848045
Allen & Co LLC,1999-11-17,Investment bank,Strategic Alliance,6282,United States,944057045
State Street Bank and Trust,1999-11-17,Investment bank,Strategic Alliance,6211,United States,943523045
Morgan Stanley Dean Witter,1999-11-18,Investment bank,Joint Venture,6211,United States,1172195045
Fifth Third Bancorp,1999-11-18,Commercial Banking,Strategic Alliance,6022,United States,944054045
Home Account Network Inc,1999-11-22,"Pvd misc bus credit,bank svcs",Strategic Alliance,6159,United States,944757045
"PNC Bank Corp,Pittsburgh,PA",1999-11-22,Bank holding company,Strategic Alliance,6021,United States,944979045
nFront Inc,1999-11-24,Pvd Internet banking prods,Strategic Alliance,7375,United States,946173045
